Settlement ID,Name,Easting,Northing,Elevation,Population,Net_Name,Net_ID,Net_Influence,Tax_neutral,Tax_Network,Water,Food,Grain,Wine,Timber,Gold,Silver,Copper,Tin,Obsidian,Lead,Livestock,Goats,Sheep,Luxury Items,Is_A_City
91,Philadelphia (Fayum),29.4208,31.0107,0,9520,Independent,0,0,4.008,1.279,881,973,983,306,899,851,835,405,641,603,688,955,614,20,803,1
92,Philippi,41.012400,24.283300,66,7807,Keramos,3,49,0.708,0.603,239,788,71,913,657,484,146,905,170,120,26,929,886,15,659,1
93,Phokaia,38.6702,26.7588,15,9064,Independent,0,0,1.209,0.362,90,609,791,578,324,95,468,269,987,920,734,134,865,704,879,1
94,Priene,37.659100,27.296800,90,9853,Keramos,3,64,0.985,0.967,655,724,793,94,258,700,867,587,474,112,531,157,494,626,897,1
95,Priapos,49.411,27.3302,12,4878,Independent,0,0,2.984,1.179,990,63,437,209,214,567,213,593,162,335,417,254,962,88,353,1
96,Rhodes,36.444,28.2278,9,6362,Independent,0,0,3.228,1.172,775,34,830,347,419,448,417,181,676,735,819,900,888,661,589,1
97,Rome,41.9029,12.4526,39,1476,Independent,0,0,2.735,0.994,512,745,156,16,495,993,25,641,0,249,618,479,530,1,578,1
98,Samos,37.6894,26.9418,8,7217,Independent,0,0,0.937,0.222,335,314,580,63,708,146,947,529,706,879,43,465,434,93,69,1
100,Serrhai,41.095700,23.543800,121,4202,Keramos,3,20,2.529,0.981,52,605,783,520,65,568,509,353,401,291,583,545,654,117,962,1
101,Sestos,40.213000,26.389500,7,9573,Keramos,3,12,6.355,1.48,229,972,568,334,906,586,871,543,384,746,367,622,592,316,306,1
102,Seuthopolis,42.616200,25.293500,386,4300,Keramos,3,73,1.796,0.549,686,996,778,310,366,379,963,781,479,169,634,50,51,923,181,1
103,Stratonikeia,37.314300,28.063200,507,4040,Keramos,3,12,5.073,1.748,793,676,115,293,162,884,220,939,965,161,268,758,806,79,642,1
105,Syme,36.615100,27.837200,20,821,Keramos,3,73,2.868,5.361,251,651,452,279,52,10,334,638,498,460,826,657,241,108,603,1
106,Tarentum,40.472000,17.244400,27,5850,Keramos,3,36,4.58,1.024,416,718,484,918,287,828,729,847,677,46,252,497,710,865,694,1
107,Tegea,37.455500,22.420500,671,9491,Keramos,3,49,0.126,0.038,817,613,91,186,415,208,111,819,416,213,401,66,977,386,702,1
108,Teos,38.177200,26.785200,13,7425,Keramos,3,64,5.219,10.799,239,788,71,913,657,484,146,905,170,120,26,929,886,15,659,1
109,Thasos,40.7821,24.7178,56,6316,Independent,0,0,2.769,1.011,688,243,343,338,729,249,296,830,219,495,453,421,655,965,16,1
110,Thera,36.366700,25.477300,285,4952,Keramos,3,20,0.375,0.153,655,724,793,94,258,700,867,587,474,112,531,157,494,626,897,1
111,Thessalonike,40.6377,22.9465,29,7648,Independent,0,0,5.096,1.3,697,311,255,387,610,139,475,951,106,733,923,610,510,166,407,1
112,Torone,39.9843,23.9022,0,13,Independent,0,0,1.522,0.349,553,215,455,743,149,910,807,688,446,812,797,602,212,513,706,1
113,Torone,39.514100,20.177700,2,7807,Keramos,3,12,1.006,0.279,52,605,783,520,65,568,509,353,401,291,583,545,654,117,962,1
114,Tralles,37.844300,27.845200,71,9853,Keramos,3,73,7.871,2.059,229,972,568,334,906,586,871,543,384,746,367,622,592,316,306,1
115,Pergamon,39.132000,27.183700,304,4202,Keramos,3,34,1.098,0.248,229,972,568,334,906,586,871,543,384,746,367,622,592,316,306,1
116,Troy/Ilium,39.9573,26.2389,36,9100,Independent,0,0,1.004,0.209,408,204,284,772,335,559,709,31,235,48,941,675,34,630,392,1
123,Aea,42.1237505,42.2161531,0,7827,Independent,0,0,3.489,3.832,544,10,128,621,459,428,776,665,709,472,476,184,567,795,986,1
124,Aeaea,41.2333,13.05,0,2272,Independent,0,0,0.314,0.363,408,204,284,772,335,559,709,31,235,48,941,675,34,630,392,1
126,Aegina,37.75,23.433333,0,6670,Independent,0,0,2.7,0.7,788,682,673,959,121,149,670,981,844,128,890,198,701,110,293,1
129,Alope,38.75,22.75,0,4300,Independent,0,0,2.57,0.562,393,484,607,766,34,588,742,9,618,898,744,443,902,629,9,1
136,Anaphe,36.350459,25.76846,0,2555,Independent,0,0,1.429,0.339,165,816,794,906,640,145,363,644,138,165,702,809,568,488,873,1
144,Arene,37.6,21.6,0,4040,Independent,0,0,1.426,0.42,889,558,983,680,622,990,460,834,635,826,869,545,671,509,604,1
146,Argos,36.75,22.75,0,821,Independent,0,0,7.413,8.414,996,465,705,859,758,175,933,907,386,47,621,547,298,201,876,1
149,Assyria,41.5,34.5,0,9520,Independent,0,0,1.79,1.574,135,45,917,573,569,697,468,999,344,479,455,421,808,519,262,1
152,Athos,40.157222,24.326389,0,8718,Independent,0,0,1.586,1.699,378,964,863,581,307,353,847,971,282,861,283,684,665,766,457,1
156,Bebrycia,40.25,26.75,0,9064,Independent,0,0,1.919,0.49,183,211,151,422,25,796,845,415,680,451,103,72,692,718,88,1
162,Bosphorus,40.222508,26.493988,0,13,Independent,0,0,0.101,0.25,785,921,67,374,425,537,645,634,951,826,628,217,278,737,178,0
163,Bryges,45.265222,14.370117,0,4878,Independent,0,0,0.658,0.312,366,33,52,959,444,26,250,792,106,959,827,541,832,935,102,1
168,Canastra,39.937356,23.930431,0,9064,Independent,0,0,0.422,0.129,522,275,544,492,244,750,329,205,698,902,943,287,890,479,110,1
169,Cape of Acherusias,41.298238,31.405106,0,6362,Independent,0,0,1.095,0.475,985,955,245,774,349,370,700,853,119,222,471,83,587,903,374,1
171,Carambis,42.013625,33.369673,0,686,Independent,0,0,0.071,0.049,544,10,128,621,459,428,776,665,709,472,476,184,567,795,986,1
172,Carpathus,35.583333,27.133333,0,4952,Independent,0,0,0.036,0.27,697,311,255,387,610,139,475,951,106,733,923,610,510,166,407,1
173,Caucasus,42.517461,44.937746,0,3146,Independent,0,0,0.547,0.23,393,484,607,766,34,588,742,9,618,898,744,443,902,629,9,1
185,City of Hyllus,44.193096,15.379156,0,1476,Independent,0,0,2.53,0.786,686,996,778,310,366,379,963,781,479,169,634,50,51,923,181,1
190,Crete,35.297847,25.163106,0,7217,Independent,0,0,0.803,0.342,793,676,115,293,162,884,220,939,965,161,268,758,806,79,642,1
192,Cromna,41.838242,32.651063,0,1329,Independent,0,0,3.745,2.127,95,241,781,818,466,817,330,294,489,968,586,501,504,107,219,1
193,Ctimene,39.064237,21.978511,0,5850,Independent,0,0,1.797,0.466,465,785,116,70,265,54,572,394,572,160,429,417,43,48,164,1
197,Cyzicus,40.381323,27.892255,0,6316,Independent,0,0,0.582,0.606,251,651,452,279,52,10,334,638,498,460,826,657,241,108,603,1
200,Delphi,38.482289,22.501169,0,9491,Independent,0,0,2.01,3.812,785,568,989,460,892,60,53,96,907,763,259,667,221,145,587,1
207,Doris,38.711233,22.342072,0,7425,Independent,0,0,0.912,0.214,139,830,179,362,635,20,410,315,305,457,612,221,562,30,96,1
208,Drepane,39.666667,19.75,0,4952,Independent,0,0,3.46,1.968,522,275,544,492,244,750,329,205,698,902,943,287,890,479,110,1
218,Eridanus River,44.880785,11.615753,0,821,Independent,0,0,4.363,3.403,775,34,830,347,419,448,417,181,676,735,819,900,888,661,589,0
221,Euboea,38.53,23.87,0,4202,Independent,0,0,9.181,3.682,974,409,806,87,828,907,801,145,961,252,360,902,378,801,500,1
226,Giresun,40.91913,38.39793,0,6670,Independent,0,0,0.664,0.251,817,613,91,186,415,208,111,819,416,213,401,66,977,386,702,1
227,Gulf of Olbia,40.76445,29.923486,0,7648,Independent,0,0,0.171,0.035,716,356,427,149,480,387,541,935,63,236,94,751,23,70,916,0
235,Hellespont,40.2,26.4,0,1476,Independent,0,0,0.316,0.064,506,873,606,355,818,733,802,474,620,110,616,133,271,537,390,0
237,Hippouris,36.312027,25.800762,0,9853,Independent,0,0,7.602,10.747,408,204,284,772,335,559,709,31,235,48,941,675,34,630,392,1
238,Holy Island of Electris,44.777546,12.239227,0,2555,Independent,0,0,0.392,0.124,239,788,71,913,657,484,146,905,170,120,26,929,886,15,659,1
246,Iolcus,39.366305,22.96886,0,7807,Independent,0,0,1.71,0.361,31,28,37,97,297,706,543,139,92,942,119,187,890,231,190,1
252,Ister River,46.35,30.233333,0,4040,Independent,0,0,3.687,3.568,990,63,437,209,214,567,213,593,162,335,417,254,962,88,353,0
255,Kerinthos,38.825075,23.48282,0,9853,Independent,0,0,1.452,0.718,708,103,372,3,508,207,474,701,11,945,347,533,90,601,125,1
256,Kios River,40.423742,29.290237,0,6316,Independent,0,0,5.499,2.571,944,87,431,254,238,598,198,427,590,264,858,11,352,984,137,0
258,Kolone,41.125,29.375,0,3333,Independent,0,0,1.53,13.559,366,468,20,356,39,438,873,798,456,915,983,306,837,458,445,1
261,Lake Triton,33.437522,8.531639,0,9520,Independent,0,0,6.186,2.42,655,724,793,94,258,700,867,587,474,112,531,157,494,626,897,0
263,Larissa,39.6309,22.4264,0,9861,Independent,0,0,2.491,0.968,325,938,579,231,151,754,713,919,905,280,901,678,94,656,443,1
274,Lyra,41.471188,31.760908,0,9064,Independent,0,0,4.721,1.487,52,605,783,520,65,568,509,353,401,291,583,545,654,117,962,1
289,Mysia,40.614722,29.708333,0,7141,Independent,0,0,0.064,0.505,944,87,431,254,238,598,198,427,590,264,858,11,352,984,137,1
301,Olenos,38.153707,21.640599,0,7690,Independent,0,0,4.02,4.079,716,356,427,149,480,387,541,935,63,236,94,751,23,70,916,1
304,Opus,38.702056,22.902374,0,9371,Independent,0,0,3.465,4.006,785,921,67,374,425,537,645,634,951,826,628,217,278,737,178,1
309,Pagasae,39.342582,22.971268,0,6362,Independent,0,0,3.311,2.716,378,964,863,581,307,353,847,971,282,861,283,684,665,766,457,1
310,Pallene,39.983262,23.643718,0,9520,Independent,0,0,2.57,1.211,139,830,179,362,635,20,410,315,305,457,612,221,562,30,96,1
311,Paphlagonia,41,33,0,1476,Independent,0,0,0.254,0.104,544,2,128,621,459,428,776,665,709,472,476,184,567,795,986,1
316,Parthenius,41.631435,32.336859,0,7827,Independent,0,0,3.425,1.271,974,409,806,87,828,907,801,145,961,252,360,902,378,801,500,1
317,Peiresiae,40.175,22.489,0,8754,Independent,0,0,5.568,3.786,909,33,948,604,944,984,640,798,73,192,229,807,29,167,316,1
319,Pelion,39.25,23.25,0,6670,Independent,0,0,0.599,0.133,465,785,116,70,265,54,572,394,572,160,429,417,43,48,164,1
321,Peloponnesus,37.47137,22.218017,0,7807,Independent,0,0,6.173,1.309,553,215,455,743,149,910,807,688,446,812,797,602,212,513,706,1
326,Pherae,39.3829,22.7372,0,855,Independent,0,0,0.09,0.11,366,468,20,356,39,438,873,798,456,915,983,306,837,458,445,1
331,Phthia,39,22.5,0,7156,Independent,0,0,0.204,0.202,547,779,56,280,361,358,799,538,172,190,573,328,311,155,965,1
332,Phylace,39.251,22.58,0,7950,Independent,0,0,7.91,2.28,828,115,559,672,679,902,833,189,308,249,36,402,683,344,824,1
334,Pieria,40.175,22.489,0,2932,Independent,0,0,5.383,8.921,974,409,806,87,828,907,801,145,961,252,360,902,378,801,500,1
340,Pylos,37.028,21.695,0,7226,Independent,0,0,0.097,0.517,881,973,983,306,899,851,835,405,641,603,688,955,614,20,803,1
342,Rhebas,41.055,29.35725,0,9100,Independent,0,0,1.426,1.114,909,33,948,604,944,984,640,798,73,192,229,807,29,167,316,1
345,Rhone River,43.330833,4.845556,0,5850,Independent,0,0,7.365,1.823,512,745,156,16,495,993,25,641,0,249,618,479,530,1,578,0
346,Rhyndakos,40.393339,28.511438,0,7217,Independent,0,0,5.161,3.353,325,938,579,231,151,754,713,919,905,280,901,678,94,656,443,1
349,River Callichorus,41.40796,31.68197,0,1974,Independent,0,0,1.42,0.479,828,115,559,672,679,902,833,189,308,249,36,402,683,344,824,1
350,River Halys,41.67676,35.929529,0,4300,Independent,0,0,1.743,4.459,90,609,791,578,324,95,468,269,987,920,734,134,865,704,879,1
359,Sangarius,41.1264,30.6489,0,9947,Independent,0,0,3.11,0.782,547,779,56,280,361,358,799,538,172,190,573,328,311,155,965,1
360,Scylla,38.245833,15.6325,0,9491,Independent,0,0,0.314,0.467,335,314,580,63,708,146,947,529,706,879,43,465,434,93,69,0
363,Sesamus,41.733853,32.397308,0,9573,Independent,0,0,6.208,4.44,881,973,983,306,899,851,835,405,641,603,688,955,614,20,803,1
365,Siphai,38.181242,23.036561,0,2542,Independent,0,0,7.013,2.077,90,609,791,578,324,95,468,269,987,920,734,134,865,704,879,1
366,Skiathos,39.166667,23.483333,0,2555,Independent,0,0,3.046,1.063,785,568,989,460,892,60,53,96,907,763,259,667,221,145,587,1
368,Sparta,37.073678,22.430937,0,4147,Independent,0,0,1.55,0.888,990,63,437,209,214,567,213,593,162,335,417,254,962,88,353,1
370,Stoechades,43.5,6,0,7217,Independent,0,0,4.896,1.715,95,241,781,818,466,817,330,294,489,968,586,501,504,107,219,1
371,Syrtis,34,10.416667,0,6316,Independent,0,0,0.95,0.232,393,484,607,766,34,588,742,9,618,898,744,443,902,629,9,1
376,Thebes,38.319236,23.317355,0,8718,Independent,0,0,1.061,0.34,512,745,156,16,495,993,25,641,0,249,618,479,530,1,578,1
380,Thermodon,41.193956,36.942498,0,7648,Independent,0,0,0.237,0.94,889,558,983,680,622,990,460,834,635,826,869,545,671,509,604,1
382,Thrace,42.373156,26.757202,0,4878,Independent,0,0,3.091,0.728,31,28,37,97,297,706,543,139,92,942,119,187,890,231,190,1
384,Thynia,41.119091,28.97644,0,855,Independent,0,0,0.376,0.119,996,465,705,859,758,175,933,907,386,47,621,547,298,201,876,1
385,Thynias,41.072222,30.161111,0,7156,Independent,0,0,0.275,0.093,465,785,116,70,265,54,572,394,572,160,429,417,43,48,164,1
386,Tisaia,39.097668,23.101959,0,2272,Independent,0,0,1.371,0.296,996,465,705,859,758,175,933,907,386,47,621,547,298,201,876,1
387,Titaresia,39.75,22.25,0,686,Independent,0,0,4.363,2.741,335,314,580,63,708,146,947,529,706,879,43,465,434,93,69,1
388,Tomb of Dolops,39.759288,22.884521,0,7950,Independent,0,0,2.165,3.061,785,568,989,460,892,60,53,96,907,763,259,667,221,145,587,0
392,Wandering Rocks,38.132072,15.600586,0,7425,Independent,0,0,0.041,0.009,688,243,343,338,729,249,296,830,219,495,453,421,655,965,16,0
402,Phasis River,42.149957,41.667432,0,2932,Independent,0,0,1.265,0.654,139,830,179,362,635,20,410,315,305,457,612,221,562,30,96,1
403,Elba,42.761833,10.240833,0,7226,Independent,0,0,2.647,0.722,522,275,544,492,244,750,329,205,698,902,943,287,890,479,110,1
67,Lemnos,39.916667,25.25,0,2542,Independent,0,0,5.446,22.053,31,28,37,97,297,706,543,139,92,942,119,187,890,231,190,1
