Settlement ID,Name,Easting,Northing,Elevation,Population,Net_Name,Net_ID,Net_Influence,Tax_neutral,Tax_Network,Water,Food,Grain,Wine,Timber,Gold,Silver,Copper,Tin,Obsidian,Lead,Slaves,Goats,Sheep,Luxury Items,Is_A_City,Model_Reference,Description
15,Alabanda,37.591700,27.985200,111,53,Samothrace,1_5_6,50,1.352,0.358,22,29,55,98,0,2,10,19,25,8,78,3,2,48,57,1,basic,"This city was founded in legend by a Carian hero, Alabandus, whose name combines the words for ‘horse’ and ‘victory’ or ‘competition’. Local Apollo is known as Isotimos, “Equal in Honor to Zeus”; his sister Artemis has a temple here as well. Sources: Pliny (Plinius) 5109.0, 1st century A.D., Strabo 14,2,29, 1st century B.C., Strabo 14,2,26, 1st century B.C., Stephanus of Byzantium Ethnica, 6th century A.D., Cicero de Natura Deorum 3,50, 1st century B.C., Cicero de Natura Deorum 3,39, 1st century B.C., Ptolemaeus 5,12,1, 2nd century A.D., Dio Cassius 48,26,4, 3rd century A.D., Livy 33,18,7, 1st century B.C./1st century A.D., Polybius 31,20,1, 2nd century B.C., Polybius 31,12,8, 2nd century B.C., Polybius 30,5,15, 2nd century B.C., Polybius 16,24,8, 2nd century B.C., Polybius 16,24,6, 2nd century B.C., Polybius 5,79,6, 2nd century B.C., Herodotus 7195.0, 5th century B.C."
16,Alexandria,31.2104,29.9074,1,28,Samothrace,1_2_6_7,5,2.267,1.101,99,99,99,7,3,6,4,9,33,10,34,15,45,74,58,1,basic,"Founded by Alexander the great on the 7th of April, 330 BCE, Alexandria is a Greek city in Egypt. This Greek city is the capital of the Ptolemaic Empire and a wealthy center of trade (""Alexandria,"" Livius.org)!  Sources: Diodorus Siculus 17,52, 1st century B.C., Strabo 17,791 ff., 1st century B.C."
17,Alexandria  Troas,39.7594,26.1421,10,29,Delphi,6,17,3.191,0.719,52,62,49,0,99,1,6,18,32,6,21,16,93,53,82,1,basic,"BEWARE THE MOUSE!  Here we meet the native god Smintheus, who is assimilated to Asklepius as a god of healing and to Apollo as the god who can destroy the mice who eat grain, carry pestilence, and attack the fields. They are vermin who must be destroyed! Sources: Zosimus 13,3, 5th/6th century B.C., Zosimus 2,30, 5th/6th century B.C., Suetonius Caesar 79, 2nd century A.D., Digesta 50,15,8, 6th century A.D., Strabo 13,1,33, 1st century B.C., Strabo 13,1,26, 1st century B.C., Strabo 13,1,52, 1st century B.C., Strabo 13,1,47, 1st century B.C., Strabo 13,1,33, 1st century B.C."
19,Alopekonnesos,40.3157,26.2477,6,40,Independent,0,24,0.887,0.374,29,1,67,86,0,0,10,25,4,5,36,17,51,25,45,1,basic,Dionysos on the city coins holds a big Kantharos – let’s plan on heading to the tavern! This place was founded by Aeolians.
20,Amphipolis (Maced),40.7624,23.8981,25,74,Aitolian League,2_5,36,3.267,1.92,56,14,45,92,99,95,89,17,42,3,47,12,4,45,64,1,basic,"A bronze smith, Markos Kaikelios Sotas, dedicated an object from his craft to the Great Gods of Samothrace; was he cheered by the closeness of Kabeiroi to Hephaistos on Lemnos?"
21,Antioch on the Maeander,37.864700,28.540400,114,1,Independent,0,70,1.206,0.356,37,2,83,66,8,1,10,3,35,8,94,10,79,1,44,1,basic,"Strabo calls Antioch on the Maeander only a moderate city in Caria, and notes it as a region subject to earthquakes. Its bridge over the river Maeander is important in this region, though, and it produces in its large territory a lot of the ""Antiocheian"" fig (Strabo XIII.4)."
22,Apameia Kibotos/Kelainai,38.067700,30.181600,1012,53,Independent,0,5,2.285,0.489,60,0,0,33,5,9,9,43,2,7,24,14,61,5,15,1,basic,Here the local people know what it means to be saved from a watery death! Some celebrate this as the landing place of Noah’s ark: others tell how the king’s own son stopped a flood by riding on horseback straight into the heart of the local spring.  
23,Arsinoe/Patara,36.2668,29.3178,13,93,Independent,0,49,0.788,0.411,85,71,4,46,3,5,2,35,30,8,90,14,22,26,34,1,basic,"Named for the great queen of Egypt! We may invoke this powerful woman’s own spirit as we sail into port: bride of her brother, patron of Samothrace, and deified as Aphrodite of Safe Sailing."
25,Astypalaia,36.543800,26.355000,100,30,Astypalaia,4_5,17,1.041,0.807,44,12,89,51,0,0,8,10,41,0,19,5,46,90,88,1,basic,"This is the island of a reluctant love! Poseidon fell in love with the Phoenician princess Astypalaea, but she was not in love with  him! She turned into a fish-tailed leopard to flee his embrace. Who can elude a god? He tracked her down, brought her here, and made her the mother of sons.   One of them is on our ship: Ankaios the helmsman!"
26,Athens,37.971700,23.726800,186,99,Aitolian League,2_6_7_8_12,80,1.077,0.232,24,24,64,56,2,3,55,32,17,14,16,8,87,47,51,1,basic,"City of Athena, center of Greece: “City of light, with thy violet crown, beloved of the poets, thou art the bulwark of Greece.” "
27,Aulai,36.7587,28.1323,19,61,Independent,0,64,2.661,1.631,51,7,81,17,7,1,5,7,17,5,52,21,10,20,38,1,basic,"A bustling port, welcome to commerce. This site, in the Rhodian peraia, yields evidence of associations honoring the Samothracian gods analogous to those on Rhodes."
28,Azoros,39.970200,22.100400,500,30,Samothrace,1,30,1.076,0.229,67,45,46,17,9,7,10,16,6,13,46,0,17,95,35,1,basic,"A bustling port, welcome to commerce."
29,Bargylia,37.194200,27.588700,29,20,Samothrace,1_5,20,0.469,0.321,93,1,76,79,0,5,89,30,20,1,19,4,95,69,31,1,basic,"Bellerophon, conqueror of the Chimaera, founded this city in honor of his friend Bargylos, who died after being kicked by Pegasos, Bellerophon’s winged horse."
31,Byzantion,41.009700,28.973200,59,90,Samothrace,1_5_8,10,1.554,0.331,38,63,87,53,5,35,45,20,9,14,75,21,15,71,32,1,basic,"City on the Bosporos! The Bosporos is the ‘cow crossing’: here Io, turned into a heifer and driven by the gadfly of Hera, crossed from Europe to Asia; here too she gave birth to her child, Keroessa, the daughter of Zeus.  The girl, in name and form, perpetuated her mother’s suffering: two horn-like bulges marked her forehead, and her name means ‘The Horned Girl.’  Poseidon, however, found her more beautiful than the nymphs of Thrace, and made her the mother of a son, Byzas: this city bears his name.  "
33,Chios,38.3737,26.1374,8,98,Chios,1_2_5,7,5.288,1.962,55,3,51,93,0,9,10,9,27,9,3,1,67,92,1,1,basic,"Time for us to stock up on wine!  It has a divine origin at this place: here King Oinopionos, son of Dionysos and Ariadne and grandson of King Minos of Crete, taught the people of the island to cultivate vines."
34,Dardanos,40.0851,26.3647,7,30,Samothrace,1,12,6.301,2.672,93,78,1,71,2,5,10,32,17,10,35,23,55,89,5,1,basic,"This city was founded by a prince of Samothrace – he fled his native land when a flood burst from the Hellespont, and threatened to engulf all souls.  He sailed on the most primitive craft, a raft of skins. Some people know a different Dardanos, a powerful magician who wrote books on magic: the Sword of Dardanos figures in Greek magical papyri as part of a love spell."
35,Delos,37.396,25.2712,59,10,Samothrace,1,73,1.061,0.267,99,67,11,41,6,5,6,25,25,11,21,99,89,18,62,1,basic,"This is the island of Apollo; here he and his sister Artemis were born when Leto, fleeing from Hera’s wrath, sought the world over for a place to give birth.  Zeus called on Poseidon to create the island to help his lover – the sea god thrust his trident into the sea and the island appeared: ‘Delos’ means ‘appearance’."
37,Elis,37.8897,21.374,38,90,Samothrace,1,0,0.661,0.351,89,74,40,47,4,1,11,35,3,11,90,1,55,13,96,1,basic,"Herakles knows this place! Here he labored to clean the filthy stables of King Augeias: cleverly, the great hero diverted the river to plunge through the stalls and wash away years of dung."
38,Ephesos,37.94,27.3399,20,90,Samothrace,1_2,0,4.777,2.097,14,79,67,47,9,3,11,31,33,7,88,99,9,89,70,1,basic,"Artemis as the Lady of Ephesus looks unlike the Artemis we have seen! She stands stiff as a pillar; she has dozens of breasts, and wears a cloth decorated with hundreds of animals. Her crown is made of city walls, and her temple is one of the wonders of the world. Great men from all over the world have paid for its columns: we will meet many traders here!"
39,Epidamnos,41.312500,19.445200,16,44,Independent,0,50,1.126,0.668,32,68,51,13,55,5,45,36,19,9,38,5,7,28,38,1,basic,"This is the tavern of the Adriatic! (Catullus 36.5). Here Romans traveling up the Adriatic put in for a drink and a rest. Here travelers pause after crossing from Brundisium, and commer and trade are lively: we will see great opulence, as its citizens compete wit hthe best states in Greece in wealth."
40,Eresos,39.1359,25.9341,11,70,Eresos,1_8,0,0.473,0.265,56,55,1,2,4,6,45,34,45,9,75,15,4,86,8,1,basic,"Welcome to the city of Eresos on the island of Lesbos off the coast of ancient Anatolia!  Eresos is a bustling walled port city on a hill leading down to the harbor (""Lesbos."" Stillwell et al., 1976)."
41,Erythrai,38.3821,26.478,46,90,Independent,0,0,2.406,9.582,52,45,82,24,8,1,3,3,45,13,32,13,87,82,46,1,basic,"These people celebrate Herakles the Daktyl, not the hero who sailed with our crew! He was one of five Cretan brothers; on the Greek mainland happen at Mykalessos, autumn fruits offered to him stay magically fresh all year; at Megalopolis in Arkadia, his statue is about a cubit high.  He is celebrated as a great wizard and master of initiation.  Cicero suggests that the Idaian Daktyloi, with whom we danced at Cyzicus, make offerings at his tomb. "
42,Fasilar,36.828400,33.470000,1296,76,Independent,0,70,1.27,0.457,52,1,58,42,5,2,9,14,35,12,24,22,14,85,53,1,basic,This inland town is home to a thank offering to Samothracian Dioskouroi for an epiphany that brought salvation at sea.
44,Halikarnassos,37.025300,27.412000,60,30,Samothrace,1_4_5_6_11_14,17,3.645,1.393,40,20,82,36,9,6,6,45,6,13,55,13,0,11,53,1,basic,"Baby Zeus was hidden from his cannibalistic father on the heights of this town – if you believe what the locals say! And here earth-born warriors, the Kouretes, leaped from the earth to protect him, and became the foundation of a long line of local priests."
45,Herakleia apo Strymonos,41.273100,23.299300,69,12,Independent,0,24,3.693,3.549,57,55,38,3,2,35,89,46,13,0,95,23,22,33,91,1,basic,"Herakleia is the principal town in the region of Sintice, and sits on the Strymon (""Heracleia Sintica."" Stillwell et al., 1976). Watch your back here! The son of King Philip V. of Macedonia, Demetrius, was poisoned at a banquet and then suffocated in his room in Herkaleia (Livy 40.24)!"
46,Iasos,37.280800,27.584400,21,40,Samothrace,1,36,1.535,0.406,55,47,23,56,7,2,4,34,12,2,22,23,71,74,70,1,basic,"Coins of this city tell a sad tale! Here a handsome youth, named Hermias, had a friend among the dolphins, who would let him ride his back across the waves: it seems the dolphin may have been in love with the boy.  That sport cost him his life one day: either a violent storm drowned him in the sea, or the dolphin pierced him accidentally with his fin. Hermias died before his friend could save him; overcome with grief, the dolphin returned his rider’s body to the shore, and then beached himself alongside him and died. "
47,Imbros,40.2357,25.9118,13,70,Samothrace,1,0,0.201,26.468,22,47,7,35,5,2,10,15,41,13,94,5,61,25,13,1,basic,"This island is sacred to Hermes, god of travelers and commerce for the Greeks, celebrated here as the ithyphallic Imbramos."
48,Kalchedon/Chalcedon,40.9856,29.028,33,90,Kalchedon/Chalcedon,1_2_6_7_10,0,2.293,3.266,42,52,61,28,2,7,7,18,43,7,19,13,62,14,55,1,basic,"Founded by Greeks from Megara in the 7th century BCE, the city houses an oracular shrine of Apollo. King Philip V of Macedon controlled Chalcedon for a time (""Chalkedon."" Stillwell et al., 1976). "
49,Kamiros,36.338200,27.923500,74,70,Independent,0,49,2.001,0.402,1,98,40,44,6,0,89,4,48,8,63,8,67,44,61,1,basic,"Welcome to Kamiros on the island of Rhodes! A story of pirates and royal fate lies here: King Katreus of Crete, a grandson of Minos, received an oracular warning that his son Althaimenes would kill him. Althaimenes, eager to flee this fate, left his home and settled here in Kamiros. Many years later, Katreus came to see his son face to fact again. But Althaimenes thought the arriving ships were full of pirates – for Cretans were famous for their skills at plunder. He killed him before he realized what he was doing.  When the truth dawned upon him, he prayed to be swallowed up in the earth."
50,Karpathos (Tristomo),35.8219,27.2226,6,48,Samothrace,1,0,0.682,0.26,25,38,54,89,8,8,2,5,42,1,53,19,40,19,11,1,basic,"We sail into the place where gods and giants fought! In the battle of the gods and the giants, Poseidon tore off the island of Saria from Cape Ephialtion in Karpathos and threw it at the Giant Ephialtes; he then buried the giant under the ground. The giant lies submerged beneath the headland that bears his name"
51,Kassandreia,40.195000,23.325000,8,22,Samothrace,1_6,64,0.871,0.35,35,38,92,17,55,35,45,5,4,4,79,22,73,45,12,1,basic,"This city, once called Poteidaia, came under the rule of Macedonia in 348 BCE. In 316 BCE Kassander founded the city anew, renaming it Kassandreia! Welcome to one of the most powerful and prosperous cities in the region (""Poteidaia."" Stillwell et al., 1976)."
52,Kaunos,36.8076,28.6039,0,24,Samothrace,1_2_5,0,5.457,1.522,16,83,94,21,75,9,5,7,49,6,42,0,23,63,65,1,basic,"A young man Kaunos – the son of Miletus and grandson of Apollo – gave this city his name.  He fell deeply in love with his sister Byblis, and fled the country to free himself from this cursed passion. His sister Byblis was disconsolate without him: she wandered from her home, finally taking her own life by hanging herself from a walnut tree. He arrived in Lycia, where Pronoe, a Naiad, arose from the river to share the news of his sister’s death.  He agreed that he would make the Naiad his spouse, in exchange for the kingship of the country.      "
53,Keramos,37.041100,27.950800,31,92,Samothrace,1,80,2.939,9.929,32,12,78,90,2,2,2,5,3,10,97,13,77,38,15,1,basic,"Keramos is a city of Carian, rather than Greek, origin. Here, the chief deity is Zeus Chrysaoreus, who appears on coins with a young, local deity (""Keramos."" Stillwell et al., 1976)."
54,Klazomenai,38.3677,26.7839,0,59,Samothrace,1_5,0,6.417,1.606,50,33,43,34,0,7,89,41,39,5,70,8,54,5,68,1,basic,"Klazomenai was under Persian rule until Alexander the Great, but has passed into Greek hands. The distinguished philosophers Anaxagoras and Scopelianus were born here (""Klazomenai."" Stillwell et al., 1976)!"
55,Knidos,36.7229,27.6883,9,80,Anaphe,3_4_7_11,0,0.506,0.167,73,47,88,72,9,6,0,1,13,13,69,21,40,42,39,1,basic,"This Dorian city has two ports, one is a naval station for triremes and the other is for commercial trade! Much of the population live on a small island connected to the rest of the city on the mainland by moles (Strabo 14.2)."
56,Kolophon,38.005100,27.193100,6,70,Samothrace,1,12,0.966,0.215,42,38,79,0,9,7,4,37,42,8,22,21,46,36,48,1,basic,"After long difficult conflicts with Lysimachos, Kolophon has reestablished itself and is open for trade (""Colophon."" Stillwell et al., 1976). "
57,Koptos Egypt,25.995000,32.815200,74,30,Independent,0,73,5.095,49.422,77,52,73,45,2,2,9,5,1,2,14,1,66,60,43,1,basic,"This inland city is part of an overland trade route with the port at Berenice (Pernicide Portum), Egypt (""Berenice."" Stillwell et al., 1976). A sea captain from the island of Thera set up a votive here to the Samothracian gods for salvation at sea!"
58,Kos,36.893400,27.290500,6,70,Samothrace,1_4_6_7_14,36,1.115,0.272,92,15,58,5,6,5,3,34,28,40,16,9,12,92,11,1,basic,"The island of Kos has a long history, and Homer even says they participated in the Trojan war (Iliad 2.676). "
59,Kyme,38.7593,26.9359,0,40,Samothrace,1_7,0,1.275,0.379,1,63,1,63,8,4,1,38,20,13,64,10,77,87,19,1,basic,"Kyme was one of the largest and most important of the Aiolian cities, in times past one of the Aeolian league of eleven cities. Along with Lesbos, Cyme was the mother of some thirty colonies.The inhabitants of the city were rumored to be quite stupid, because it took them 300 years before they set tolls on the harbor (Strabo 13.3.6). "
60,Kyrene,32.823800,21.855900,593,90,Independent,0,49,3.999,4.586,68,54,29,9,7,1,6,32,39,1,63,1,62,98,75,1,basic,"Founded by overcrowded citizens of Thera in the 7th century BCE, Kyrene is a part of the Ptolemaic Empire for most of the Hellenistic period. The Cyrenaean school of philosophy teaches us that the best thing in life is pleasure, so enjoy your stay (""Cyrene."" Livius.org)! "
61,Kythnos,37.410200,24.396600,18,30,Independent,0,64,5.266,4.267,40,5,20,21,7,35,45,17,3,99,30,9,94,64,70,1,basic,"A bustling Cycladic port, described by Aristotle according to Harpocration (Harpocration,  Lexicon in decem oratores Atticos). Pliny describes the sheep here as well fed, perhaps you should pick some up (Plin. Nat. 13.47)! Two temples here may have been dedicated to the Samothracian gods!"
62,Kyzikos,40.3964,27.8855,56,90,Samothrace,1_2_5_11,0,1.359,0.314,42,61,62,82,7,8,5,10,43,9,64,7,78,29,18,1,basic,"A bustling port on a major west-east trade route, welcome to commerce. The Classical gold stater of this port was important for trade in the Mediterranean. "
63,Lampsakos,40.3527,26.6938,8,70,Samothrace,1_5_11,0,0.956,0.263,34,14,52,31,8,8,5,49,1,5,93,11,74,81,14,1,basic,A flouishing city with a good harbor on the south shore of the Hellespont(Strabo 13.1.18).
64,Larisa on the Hermos,38.667300,27.031900,50,30,Independent,0,20,3.676,0.768,88,5,77,95,5,7,7,22,24,7,18,22,44,13,60,1,basic,"A river port, believed to be the home to ""the tribes of Pelasgian spearsmen, who dwelt in fertile Larissa"" mentioned by Homer (Homer Iliad, II.2.840)."
65,Larisa Thessaly,39.630900,22.426400,75,50,Samothrace,1_2,12,1.432,0.429,87,99,99,50,8,5,5,13,28,99,13,15,33,9,13,1,basic,"A bustling port, in 344 BCE Philip II annexed Thessaly to Macedonia, and Larissa remained under Macedonian rule until the loss of power of Macedonia to the Romans. In 196 BCE Larissa became an ally of Rome (""Larissa."" Stillwell et al., 1976). "
66,Lartos (Rhodes),36.095800,28.015300,76,97,Independent,0,73,2.292,3.526,84,72,42,43,9,2,45,35,31,9,14,17,3,86,56,1,basic,"This port is home to an important marble quarry! Lartian blue marble was used for the base of the Nike, Winged Victory, of Samothrace (""Nike Monument."" American Excavations Samothrace website). "
67,Lemnos,39.916667,25.25,0,70,Independent,0,0,0.45,0.36,68,71,73,6,4,2,11,24,28,99,53,21,31,90,12,1,basic,"The island of Hephaistos, Lemnos was also the site of another sanctuary for the mysteries of the Kabeiroi, mystic divinities who occur in various parts of the ancient world, daimones also associated with the Samothracian rites. If you are lucky, perhaps the Kabeiroi will offer you Lemnian wine (Aeschylus)!"
68,Lindos,36.0936,28.0909,29,90,Samothrace,1,0,0.647,0.647,87,12,89,73,7,5,45,3,22,6,8,7,17,69,5,1,basic,"Watch out for the remains of the Colossus of Rhodes, a large statues of the sun god, Helios.  It was constructed here by Chares of Lindos to commemorate the unsuccessful siege of the harbor by Demetrius Poliorcretes in 305-304 BCE, and stood until an earthquake in 227-226 BCE (""Rhodes, Colossus."" Livius.org). The remains are visible for tourists!"
69,Lysimacheia,38.529900,21.335800,361,15,Eresos,8,12,0.33,0.387,38,85,44,43,5,1,1,9,23,11,90,23,54,37,14,1,basic,"A bustling port, founded by Lysimachus (""Lysimachus."" Livius.org). The Lysimacheians swore an oath by the Samothracian gods in a treaty with Philip V of Macedonia in 202 BC; they may have been special gods of the city."
71,Magnesia ad Maeandrum TKY,37.872900,27.629700,55,79,Samothrace,1_2,73,0.412,0.13,32,54,18,63,8,85,7,34,26,10,88,99,3,35,86,1,basic,"Magnesia is an important city with a theater, gymnasium, stadium, and important temples. The oracle at Delphi declared Magnesia sacred ground, which is celebrated with the great quadrennial festival called the Leucophryna (""Magnesia on the Meander."" Livius.org)! "
72,Magnesia  ad Sipylum TKY,38.614100,27.422200,70,98,Independent,0,36,3.004,1.227,89,38,65,77,6,5,7,41,35,13,27,23,37,20,37,1,basic,"A bustling port, welcome to commerce."
73,Maroneia,40.8776,25.5177,57,90,Samothrace,1,0,6.667,6.079,2,41,10,10,9,8,45,45,17,12,23,8,31,87,79,1,basic,"This site in Samothrace’s peraia has close economic relations with the Odrysae and the Thracian hinterland. Originally a Chian foundation, it was recalled as being positioned in the “land of the Cicones”, a Thracian ethnicity mentioned by Homer. A Thracian fortress is not far from the city. Maroneia’s wealth derives from herding and viticulture."
74,Melos,36.737900,24.423900,96,50,Independent,0,49,1.889,0.494,9,4,29,83,1,0,5,19,4,99,48,17,90,80,83,1,basic,"A bustling port, welcome to commerce. In the Sanctuary of Poseidon a fabulous statue stood. In this city in the south, three Melian residents' names, listed among the theoroi of Samothrace, are among the most southerly evidence for the Hellenistic network of the cult."
75,Methymna,39.368300,26.177200,94,60,Samothrace,1,64,1.538,0.329,73,15,11,80,3,8,89,28,19,8,33,21,4,56,34,1,basic,"Methymna is a bustling port, thought smaller than nearby Mytilene it seeks to gain in influence (""Lesbos."" Stillwell et al., 1976)! In myth, Methymna was ruled by Prylis and Kadmilos, a prince who appears in Samothracian legend. Methymna is also the home town of Arion, the poet saved by dolphins after pirates threw him into the sea!"
76,Miletus,37.5342,27.2791,1,98,Eresos,8,0,0.363,0.104,93,0,74,89,4,7,4,18,5,4,55,10,22,39,68,1,basic,"Miletus is the mother city of many Greek settlements in the Black Sea, including the Samothracian affiliates Olbia, Istros, Tomis, Dionysopolis and Odessos! Nikolaos of Damascus records the story of the foundation of a cult of the Kabeiroi in Miletus when two young men emerged from Phrygia, carrying the sacra in a basket (BNJ 90 F 52). The dedication of a fine Banqueting hall on Samothrace by an anonymous Milesian lady signals this city’s enthusiasm for the cult (""Banqueting Hall dedicated by a Woman from Miletos."" American Excavations Samothrace website)."
77,Mylasa,37.317600,27.771900,105,51,Samothrace,1,20,1.698,0.416,68,96,71,27,4,3,8,31,0,4,35,12,94,92,78,1,basic,"Mylasa is one of the three most important inland cities in Caria (Strabo 14.2).  Situated on a fertile plain with a marble quarry in the mountain overlooking the city, this flourishing city is beautifully embellished."
78,Myra,36.2591,29.9853,26,13,Independent,0,0,0.04,0.024,16,42,36,63,9,6,10,9,42,4,57,3,38,76,40,1,basic,"One of the six largest cities in Lycia, Myra overlooks the sea from a lofty hill (Strabo 14.3)."
79,Myrina Lemnos,39.8762,25.0588,17,50,Samothrace,1,0,1.017,0.287,91,42,8,31,8,0,9,28,0,40,79,13,86,23,84,1,basic,"This city has good harbors, but sits on a rocky peninsula (""Lemnos."" Stillwell et al., 1976)."
80,Mytilene Lesbos,39.109400,26.557700,10,70,Samothrace,1_2_5,12,2.105,0.808,18,49,10,74,2,9,45,37,48,7,50,11,25,71,45,1,basic,"This port is located on an islet of Lesbos, expanded onto the mainland. This well connected town has roads and acqueducts (Stillwell, et al.)."
